t,alpha
26.5000,0.9480920546491507
26.6000,0.7259247137385064
26.7000,0.48786782340325574
26.8000,0.23458557011048403
26.9000,-0.03355490378710271
27.0000,-0.31644616717866564
27.1000,-0.6129880466479108
27.2000,-0.9220833607298146
27.3000,-1.2427057754779924
27.4000,-1.574604456058183
27.5000,-1.91522100888684
27.6000,-2.2637075384241165
27.7000,-2.6186137543097776
27.8000,-2.9778071010311367
27.9000,-3.340420308097376
28.0000,-3.7056165741760636
28.1000,-4.070097532630777
28.2000,-4.4333049461256415
28.3000,-4.7915689501284975
28.4000,-5.1437274751323585
28.5000,-5.488039245122114
28.6000,-5.822727578883041
28.7000,-6.144868747935603
28.8000,-6.452952228939328
28.9000,-6.744865426707832
29.0000,-7.020233716233472
29.1000,-7.276105082864062
29.2000,-7.514031280534015
29.3000,-7.730157488291446
29.4000,-7.924322358980494
29.5000,-8.095263017392398
29.6000,-8.243850802212801
29.7000,-8.369589124744124
29.8000,-8.470205293516907
29.9000,-8.544894138129095
30.0000,-8.59350593452381
30.1000,-8.617386272190382
30.2000,-8.614368086221763
30.3000,-8.586029416962258
30.4000,-8.531570296436827
30.5000,-8.452479841331494
30.6000,-8.349863058249143
30.7000,-8.22472699245807
30.8000,-8.077720568728997
30.9000,-7.909958598064271
31.0000,-7.723466057458747
31.1000,-7.519301807325832
31.2000,-7.299337743409538
31.3000,-7.0653846620085154
31.4000,-6.81908463020288
31.5000,-6.5617891506301245
31.6000,-6.29469796018439
31.7000,-6.019942883491497
31.8000,-5.7396129322588445
31.9000,-5.455421804824875
32.0000,-5.1678804483339285
32.1000,-4.879231354382874
32.2000,-4.591273299782521
32.3000,-4.305188350114967
32.4000,-4.0226336856000575
32.5000,-3.7446581554545557
32.6000,-3.4722264339222493
32.7000,-3.2063223801786838
32.8000,-2.947957370016735
32.9000,-2.697932383103138
33.0000,-2.4572403336168493
33.1000,-2.22652434999769
33.2000,-2.006150867934832
33.3000,-1.7965904857076949
33.4000,-1.5981691024212228
33.5000,-1.4111697092504336
33.6000,-1.2357058955145441
33.7000,-1.0717485156229696
33.8000,-0.9192515204980741
33.9000,-0.7780854299603712
34.0000,-0.6479495714300344
34.1000,-0.5286104504454878
34.2000,-0.4197637867771209
34.3000,-0.32099390024390745
34.4000,-0.23182406499987415
34.5000,-0.15176135583211545
34.6000,-0.08030651508374961
34.7000,-0.016970063430949308
34.8000,0.03878309097388549
34.9000,0.08749037546238857
35.0000,0.12975133653085022
35.1000,0.1660788627776583
35.2000,0.19705142860638206
35.3000,0.22314344867704855
35.4000,0.24480599712595805
35.5000,0.2626189779027759
35.6000,0.27694640169315066
35.7000,0.2882800613960185
35.8000,0.2969639480892648
35.9000,0.30335946575551104
36.0000,0.30778879943903825
36.1000,0.3105813894154208
36.2000,0.3118949879327574
36.3000,0.31196310543742256
36.4000,0.310880011631472
36.5000,0.30888941216343113
36.6000,0.3061234996919086
36.7000,0.30261184431202937
36.8000,0.29841372404371286
36.9000,0.2936734784397626
37.0000,0.28848036067295835
37.1000,0.28263940885149286
37.2000,0.27644144014122557
37.3000,0.26983331999817173
37.4000,0.26280277550146736
37.5000,0.2553448329145602
37.6000,0.24745113004706548
37.7000,0.2391494936023138
37.8000,0.23039615544754338
37.9000,0.2213879705559949
38.0000,0.21209474402091336
38.1000,0.20238869768082418
38.2000,0.1924668615877682
38.3000,0.1821777493623881
38.4000,0.1717702372011656
38.5000,0.1612695297645619
38.6000,0.1506582141724332
38.7000,0.13989878767056546
38.8000,0.12928660667456474
38.9000,0.11860060434751363
39.0000,0.10805612154579608
39.1000,0.09767192340203491
39.2000,0.08766372328462764
39.3000,0.0780439678381543
39.4000,0.06910393406087718
39.5000,0.06093563302082991
39.6000,0.05356322857778425
39.7000,0.047115164246627345
39.8000,0.041770802600062135
39.9000,0.03759865147708508
40.0000,0.03497027430935683
40.1000,0.03395176554088365
40.2000,0.034728246256990905
40.3000,0.03759757150126531
40.4000,0.04285613830012075
40.5000,0.05054220464342556
40.6000,0.06084194591405427
40.7000,0.07389599700923999
40.8000,0.08990394132086457
40.9000,0.10913007063495866
41.0000,0.13159830515804272
41.1000,0.1575345221787346
41.2000,0.18700712194255303
41.3000,0.22007440194454772
41.4000,0.2568902190580635
41.5000,0.2973996764857089
41.6000,0.34172864055267677
41.7000,0.3898833626269294
41.8000,0.4417005398645974
41.9000,0.4971731405393626
42.0000,0.5562903123543129
42.1000,0.6189359806385887
42.2000,0.6848294042375487
42.3000,0.7538447096322123
42.4000,0.8257964002333642
42.5000,0.9004170127586947
42.6000,0.9774375743240774
42.7000,1.0564678906231948
42.8000,1.1371018190471873
42.9000,1.21885440593142
43.0000,1.3014256768376196
43.1000,1.3845232227365383
43.2000,1.46764467900797
43.3000,1.5502388296073109
43.4000,1.632114646936188
43.5000,1.7128625238856352
43.6000,1.792103193948573
43.7000,1.8690682523243285
43.8000,1.9435625532015095
43.9000,2.0149338209362098
44.0000,2.0829685432064298
44.1000,2.1470943977425225
44.2000,2.2065985552693275
44.3000,2.2612727391098946
44.4000,2.3108942175388165
44.5000,2.3549918897102855
44.6000,2.393829960170621
44.7000,2.427075728477821
44.8000,2.454522115619819
44.9000,2.4758026796327224
45.0000,2.490833625438074
45.1000,2.4999242356337392
45.2000,2.502885364988791
45.3000,2.5001834649897052
45.4000,2.4916136103777986
45.5000,2.4771995930777466
45.6000,2.4575052111464872
45.7000,2.432609374413539
45.8000,2.4026757587218137
45.9000,2.36811255360194
46.0000,2.328913551944287
46.1000,2.2856104251383855
46.2000,2.2384507215477716
46.3000,2.1875894550698813
46.4000,2.133562275169617
46.5000,2.077002418925666
46.6000,2.018207064663933
46.7000,1.957654965178139
46.8000,1.895468293952169
46.9000,1.8320790573679833
47.0000,1.7679294315993344
47.1000,1.7034640170586532
47.2000,1.6390668365385945
47.3000,1.5751716025225817
47.4000,1.5120158359918467
47.5000,1.4498960420358487
47.6000,1.3891144820222623
47.7000,1.3299127202404633
47.8000,1.2725654988774662
47.9000,1.2172880015019651
48.0000,1.1642845515971934
48.1000,1.1136830977429502
48.2000,1.0656107894011402
48.3000,1.0201546402134352
48.4000,0.9774134727058744
48.5000,0.9374751154575349
48.6000,0.9004012147382184
48.7000,0.8662423939070621
48.8000,0.8350601460970709
48.9000,0.8068968442777676
49.0000,0.7818171531714516
49.1000,0.7598731305909643
49.2000,0.7411506073467424
49.3000,0.725774832023724
49.4000,0.7138883113975675
49.5000,0.7056737197033812
49.6000,0.7014017329324507
49.7000,0.7013857210630182
49.8000,0.7060570885561539
49.9000,0.7160022649563238
